301,Marathon Pete Corp,Stock,Sell,2020-10-09,-100.0,3074.93,USD
302,Microsoft Corp,Stock,Sell,2020-10-09,-60.0,12868.52,USD
303,Merck & Co. Inc.,Stock,Dividend (Of Cash),2020-10-07,0.0,122.0,USD
305,Eastman Chemical Co,Stock,Dividend (Of Cash),2020-10-02,0.0,297.0,USD
306,Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,Interest Income,2020-10-01,0.0,2500.0,USD
307,Mckesson Corp Exchange Offer,Stock,Dividend (Of Cash),2020-10-01,0.0,35.7,USD
309,Nike Inc Class                  B,Stock,Dividend (Of Cash),2020-10-01,0.0,55.13,USD
310,Broadcom Inc,Stock,Buy,2020-09-29,50.0,-18311.25,USD
311,Adobe Inc,Stock,Sell,2020-09-29,-10.0,4915.64,USD
312,Apple Inc,Stock,Sell,2020-09-29,-60.0,6855.280000000002,USD
313,Chevron Corp,Stock,Buy,2020-09-29,75.0,-5370.75,USD
314,iShares Core S&P Mid Cap ETF,ETF,Dividend (Of Cash),2020-09-29,0.0,333.24,USD
315,Exxon Mobil Corp,Stock,Sell,2020-09-29,-250.0,8516.06,USD
316,Cisco Systems Inc,Stock,Sell,2020-09-29,-75.0,2932.4500000000007,USD
317,Ishars Edg MSCI USA QLTY FCTR ETF,ETF,Dividend (Of Cash),2020-09-29,0.0,88.31,USD
318,Bank Of America Corp,Stock,Dividend (Of Cash),2020-09-25,0.0,162.0,USD
319,Vanguard FTSE Developed Markets ETF,ETF,Dividend (Of Cash),2020-09-24,0.0,596.16,USD
320,SPDR S&P 600 Small Cap Value ETF,ETF,Dividend (Of Cash),2020-09-24,0.0,129.08,USD
321,L3harris Technologies In,Stock,Dividend (Of Cash),2020-09-22,0.0,136.0,USD
322,BlackRock Inc,Stock,Dividend (Of Cash),2020-09-22,0.0,127.05,USD
323,Home Depot Inc,Stock,Dividend (Of Cash),2020-09-17,0.0,225.0,USD
324,Prudential Finl,Stock,Dividend (Of Cash),2020-09-17,0.0,319.0,USD
328,VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,Interest Income,2020-09-15,0.0,3000.0,USD
329,Marathon Pete Corp,Stock,Dividend (Of Cash),2020-09-10,0.0,290.0,USD
330,Chevron Corp,Stock,Dividend (Of Cash),2020-09-10,0.0,258.0,USD
331,Norfolk Southern Co,Stock,Dividend (Of Cash),2020-09-10,0.0,117.5,USD
332,Microsoft Corp,Stock,Dividend (Of Cash),2020-09-10,0.0,183.6,USD
333,Emerson Electric Co,Stock,Dividend (Of Cash),2020-09-10,0.0,150.0,USD
334,Exxon Mobil Corp,Stock,Dividend (Of Cash),2020-09-10,0.0,217.5,USD
335,United Parcel SRVC Class                  B,Stock,Dividend (Of Cash),2020-09-09,0.0,176.75,USD
336,WalMart Inc,Stock,Dividend (Of Cash),2020-09-08,0.0,175.5,USD
337,Amgen Inc.,Stock,Dividend (Of Cash),2020-09-08,0.0,224.0,USD
338,Johnson & Johnson,Stock,Dividend (Of Cash),2020-09-08,0.0,227.25,USD
339,Cummins Inc,Stock,Dividend (Of Cash),2020-09-03,0.0,131.1,USD
340,Discover Finl S,Stock,Dividend (Of Cash),2020-09-03,0.0,193.6,USD
341,Kroger Co,Stock,Dividend (Of Cash),2020-09-01,0.0,90.0,USD
342,Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,Interest Income,2020-09-01,0.0,2500.0,USD
343,Intel Corp,Stock,Dividend (Of Cash),2020-09-01,0.0,280.5,USD
345,Charles Schwab Corp,Stock,Dividend (Of Cash),2020-08-28,0.0,72.0,USD
346,Agilent Technologies,Stock,Buy,2020-08-28,165.0,-16391.1,USD
347,Cerner Corp,Stock,Buy,2020-08-28,75.0,-5457.75,USD
348,Becton Dickinson&co,Stock,Sell,2020-08-28,-90.0,21779.07,USD
349,Starbucks Corp,Stock,Dividend (Of Cash),2020-08-21,0.0,123.0,USD
351,Procter & Gamble,Stock,Dividend (Of Cash),2020-08-17,0.0,237.21,USD
353,Abbvie Inc,Stock,Dividend (Of Cash),2020-08-14,0.0,354.0,USD
354,Apple Inc,Stock,Dividend (Of Cash),2020-08-13,0.0,155.8,USD
355,Masco Corp,Stock,Dividend (Of Cash),2020-08-10,0.0,27.0,USD
356,Mastercard Inc Class                  A,Stock,Dividend (Of Cash),2020-08-07,0.0,70.0,USD
358,VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,Interest Income,2020-08-01,0.0,3750.0,USD
359,Verizon Communicatn,Stock,Dividend (Of Cash),2020-08-03,0.0,153.75,USD
360,Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,Interest Income,2020-08-01,0.0,2000.0,USD
